language_name,language_code,dir
Acehnese,ace-ID,ltr
Afar,aa-ET,ltr
Afrikaans,af-ZA,ltr
Akan,ak-GH,ltr
Albanian,sq-AL,ltr
Amharic,am-ET,ltr
Anii,blo-BJ,ltr
Antigua and Barbuda Creole English,aig-AG,ltr
Arabic,ar-SA,rtl
Arabic (Egypt),ar-EG,rtl
Arabic (Jordan),ar-JO,rtl
Arabic (Morocco),ar-MA,rtl
Arabic (Tunisia),ar-TN,rtl
Arabic (United Arab Emirates),ar-AE,rtl
Aragonese,an-ES,ltr
Armenian,hy-AM,ltr
Assamese,as-IN,ltr
Asturian,ast-ES,ltr
Asu,asa-TZ,ltr
Awadhi,awa-IN,ltr
Ayacucho Quechua,quy-PE,ltr
Azerbaijani,az-AZ,ltr
Bahamas Creole English,bah-BS,ltr
Bajan,bjs-BB,ltr
Balinese,ban-ID,ltr
Balkan Romani,rmn-BG,ltr
Baluchi (Pakistan),bal-PK,ltr
Bambara,bm-ML,ltr
Banjar,bjn-ID,ltr
Bashkir,ba-RU,ltr
Basque,eu-ES,ltr
Belarusian,be-BY,ltr
Bemba,bem-ZM,ltr
Bena,bez-TZ,ltr
Bengali (Bangladesh),bn-BD,ltr
Bengali (India),bn-IN,ltr
Bhojpuri,bho-IN,ltr
Bihari,bh-IN,ltr
Bislama,bi-VU,ltr
Bodo (India),brx-IN,ltr
Borana,gax-KE,ltr
Bosnian (Cyrillic script),bs-Cyrl-BA,ltr
Bosnian (Latin script),bs-BA,ltr
Breton,br-FR,ltr
Buginese,bug-ID,ltr
Bulgarian,bg-BG,ltr
Burmese,my-MM,ltr
Cantonese,yue-HK,ltr
Catalan (Catalonia),ca-ES,ltr
Catalan (Valencia),cav-ES,ltr
Cebuano,ceb-PH,ltr
Central Atlas Tamazight,tzm-MA,ltr
Central Aymara,ayr-BO,ltr
Central Kanuri (Latin script),knc-NG,ltr
Chadian Arabic,shu-TD,rtl
Chamorro,ch-GU,ltr
Chechen (Russia),ce-RU,ltr
Cherokee,chr-US,ltr
Chhattisgarhi,hne-IN,ltr
Chiga,cgg-UG,ltr
Chinese (Simplified; Singapore),zh-SG,ltr
Chinese (Simplified; mainland China),zh-CN,ltr
Chinese (Traditional; Hong Kong),zh-HK,ltr
Chinese (Traditional; Macao),zh-MO,ltr
Chinese (Traditional; Taiwan),zh-TW,ltr
Chittagonian,ctg-BD,ltr
Chokwe,cjk-AO,ltr
Chuj,cac-GT,ltr
Chuukese (Micronesia),chk-FM,ltr
Classical Greek,grc-GR,ltr
Colognian,ksh-DE,ltr
Comorian Ngazidja,zdj-KM,ltr
Coptic,cop-EG,ltr
Cornish,kw-GB,ltr
Crimean Tatar,crh-RU,ltr
Crioulo Upper Guinea,pov-GW,ltr
Croatian,hr-HR,ltr
Czech,cs-CZ,ltr
Danish,da-DK,ltr
Dari,prs-AF,rtl
Dimli,diq-TR,ltr
Dogri (India),doi-IN,ltr
Dutch (Belgium),nl-BE,ltr
Dutch (Netherlands),nl-NL,ltr
Dyula,dyu-CI,ltr
Dzongkha,dz-BT,ltr
Eastern Yiddish,ydd-US,rtl
Emakhuwa,vmw-MZ,ltr
English (Australia),en-AU,ltr
English (Austria),en-AT,ltr
English (Bangladesh),en-BD,ltr
English (Cambodia),en-KH,ltr
English (Canada),en-CA,ltr
English (Czech Republic),en-CZ,ltr
English (Finland),en-FI,ltr
English (Hong Kong),en-HK,ltr
English (Hungary),en-HU,ltr
English (India),en-IN,ltr
English (Ireland),en-IE,ltr
English (Jamaica),en-JM,ltr
English (Laos),en-LA,ltr
English (Malaysia),en-MY,ltr
English (Myanmar),en-MM,ltr
English (New Zealand),en-NZ,ltr
English (Pakistan),en-PK,ltr
English (Singapore),en-SG,ltr
English (South Africa),en-ZA,ltr
English (Sweden),en-SE,ltr
English (Taiwan),en-TW,ltr
English (Turkey),en-TR,ltr
English (USA),en-US,ltr
English (United Kingdom),en-GB,ltr
Esperanto,eo-EU,ltr
Estonian,et-EE,ltr
Ewe,ee-GH,ltr
Fanagalo,fn-FNG,ltr
Faroese,fo-FO,ltr
Fijian,fj-FJ,ltr
Filipino,fil-PH,ltr
Finnish,fi-FI,ltr
Fon,fon-BJ,ltr
French (Belgium),fr-BE,ltr
French (Canada),fr-CA,ltr
French (France),fr-FR,ltr
French (Morocco),fr-MA,ltr
French (Switzerland),fr-CH,ltr
Friulian,fur-IT,ltr
Fula,ff-FUL,ltr
Fula (Guinea),ff-GN,ltr
Galician,gl-ES,ltr
Garo,grt-IN,ltr
Georgian,ka-GE,ltr
German (Austria),de-AT,ltr
German (Germany),de-DE,ltr
German (Switzerland),de-CH,ltr
Gilbertese,gil-KI,ltr
Glavda,glw-NG,ltr
Greek,el-GR,ltr
Grenadian Creole English,gcl-GD,ltr
Guarani,gn-PY,ltr
Gujarati,gu-IN,ltr
Guyanese Creole English,gyn-GY,ltr
Haitian Creole French,ht-HT,ltr
Halh Mongolian,khk-MN,ltr
Hausa,ha-NE,ltr
Hawaiian,haw-US,ltr
Hebrew,he-IL,rtl
Higi,hig-NG,ltr
Hiligaynon,hil-PH,ltr
Hill Mari,mrj-RU,ltr
Hindi,hi-IN,ltr
Hindi (Fiji),hi-FJ,ltr
Hmong,hmn-CN,ltr
Hmong Njua,hnj-LA,ltr
Ho,hoc-IN,ltr
Hungarian,hu-HU,ltr
Icelandic,is-IS,ltr
Ido,io-001,ltr
Igbo,ig-NG,ltr
Ilocano,ilo-PH,ltr
Inari Sami,smn-FI,ltr
Indonesian,id-ID,ltr
Interlingua,ia-001,ltr
Inuktitut,iu-CA,ltr
Irish Gaelic,ga-IE,ltr
Italian (Italy),it-IT,ltr
Italian (Switzerland),it-CH,ltr
Jamaican Creole English,jam-JM,ltr
Japanese,ja-JP,ltr
Javanese,jv-ID,ltr
Jingpho,kac-MM,ltr
Jju,kaj-NG,ltr
K'iche',quc-GT,ltr
Kabiyè,kbp-TG,ltr
