language_name,language_code,support_source,support_target
Abkhaz,ab,true,true
Acehnese,ace,true,true
Acholi,ach,true,true
Afrikaans,af,true,true
Twi,ak,true,true
Alur,alz,true,true
Amharic,am,true,true
Arabic,ar,true,true
Assamese,as,true,true
Awadhi,awa,true,true
Aymara,ay,true,true
Azerbaijani,az,true,true
Bashkir,ba,true,true
Balinese,ban,true,true
Batak Toba,bbc,true,true
Belarusian,be,true,true
Bemba,bem,true,true
Betawi,bew,true,true
Bulgarian,bg,true,true
Bhojpuri,bho,true,true
Bikol,bik,true,true
Bambara,bm,true,true
Bengali,bn,true,true
Breton,br,true,true
Bosnian,bs,true,true
Batak Simalungun,bts,true,true
Batak Karo,btx,true,true
Buryat,bua,true,true
Catalan,ca,true,true
Cebuano,ceb,true,true
Kiga,cgg,true,true
Meadow Mari,chm,true,true
Kurdish (Sorani),ckb,true,true
Hakha Chin,cnh,true,true
Corsican,co,true,true
Crimean Tatar,crh,true,true
Seychellois Creole,crs,true,true
Czech,cs,true,true
Chuvash,cv,true,true
Welsh,cy,true,true
Danish,da,true,true
German,de,true,true
Dinka,din,true,true
Dogri,doi,true,true
Dombe,dov,true,true
Dhivehi,dv,true,true
Dzongkha,dz,true,true
Ewe,ee,true,true
Greek,el,true,true
English,en,true,true
Esperanto,eo,true,true
Spanish,es,true,true
Estonian,et,true,true
Basque,eu,true,true
Persian,fa,true,true
Fulani,ff,true,true
Finnish,fi,true,true
Filipino,fil,true,true
Fijian,fj,true,true
French,fr,true,true
French (Canada),fr-CA,true,true
Frisian,fy,true,true
Irish,ga,true,true
Ga,gaa,true,true
Scots Gaelic,gd,true,true
Galician,gl,true,true
Guarani,gn,true,true
Konkani,gom,true,true
Gujarati,gu,true,true
Hausa,ha,true,true
Hawaiian,haw,true,true
Hebrew,he,true,true
Hindi,hi,true,true
Hiligaynon,hil,true,true
Hmong,hmn,true,true
Croatian,hr,true,true
Hunsrik,hrx,true,true
Haitian Creole,ht,true,true
Hungarian,hu,true,true
Armenian,hy,true,true
Indonesian,id,true,true
Igbo,ig,true,true
Ilocano,ilo,true,true
Icelandic,is,true,true
Italian,it,true,true
Hebrew,iw,true,true
Japanese,ja,true,true
Javanese,jv,true,true
Javanese,jw,true,true
Georgian,ka,true,true
Kazakh,kk,true,true
Khmer,km,true,true
Kannada,kn,true,true
Korean,ko,true,true
Krio,kri,true,true
Kituba,ktu,true,true
Kurdish (Kurmanji),ku,true,true
Kyrgyz,ky,true,true
Latin,la,true,true
Luxembourgish,lb,true,true
Luganda,lg,true,true
Limburgish,li,true,true
Ligurian,lij,true,true
Lombard,lmo,true,true
Lingala,ln,true,true
Lao,lo,true,true
Lithuanian,lt,true,true
Latgalian,ltg,true,true
Luo,luo,true,true
Mizo,lus,true,true
Latvian,lv,true,true
Maithili,mai,true,true
Makassar,mak,true,true
Malagasy,mg,true,true
Maori,mi,true,true
Minang,min,true,true
Macedonian,mk,true,true
Malayalam,ml,true,true
Mongolian,mn,true,true
Meiteilon (Manipuri),mni-Mtei,true,true
Marathi,mr,true,true
Malay,ms,true,true
Malay (Jawi),ms-Arab,true,true
Maltese,mt,true,true
Myanmar (Burmese),my,true,true
Nepali,ne,true,true
Nepalbhasa (Newari),new,true,true
Dutch,nl,true,true
Norwegian,no,true,true
Ndebele (South),nr,true,true
Sepedi,nso,true,true
Nuer,nus,true,true
Chichewa,ny,true,true
Occitan,oc,true,true
Oromo,om,true,true
Odia (Oriya),or,true,true
Punjabi (Gurmukhi),pa,true,true
Punjabi (Shahmukhi),pa-Arab,true,true
Pangasinan,pag,true,true
Kapampangan,pam,true,true
Papiamento,pap,true,true
Polish,pl,true,true
Pashto,ps,true,true
Portuguese (Brazil),pt,true,true
Portuguese (Portugal),pt-PT,true,true
Quechua,qu,true,true
Rundi,rn,true,true
Romanian,ro,true,true
Romani,rom,true,true
Russian,ru,true,true
Kinyarwanda,rw,true,true
Sanskrit,sa,true,true
Sicilian,scn,true,true
Sindhi,sd,true,true
Sango,sg,true,true
Shan,shn,true,true
Sinhala,si,true,true
Slovak,sk,true,true
Slovenian,sl,true,true
Samoan,sm,true,true
Shona,sn,true,true
Somali,so,true,true
Albanian,sq,true,true
Serbian,sr,true,true
Swati,ss,true,true
Sesotho,st,true,true
Sundanese,su,true,true
Swedish,sv,true,true
Swahili,sw,true,true
Silesian,szl,true,true
Tamil,ta,true,true
Telugu,te,true,true
Tetum,tet,true,true
Tajik,tg,true,true
Thai,th,true,true
Tigrinya,ti,true,true
Turkmen,tk,true,true
Filipino,tl,true,true
Tswana,tn,true,true
Turkish,tr,true,true
Tsonga,ts,true,true
Tatar,tt,true,true
Uyghur,ug,true,true
Ukrainian,uk,true,true
Urdu,ur,true,true
Uzbek,uz,true,true
Vietnamese,vi,true,true
Xhosa,xh,true,true
Yiddish,yi,true,true
Yoruba,yo,true,true
Yucatec Maya,yua,true,true
Cantonese,yue,true,true
Chinese (Simplified),zh,true,true
Chinese (Simplified),zh-CN,true,true
Chinese (Traditional),zh-TW,true,true
Zulu,zu,true,true
